Framework,Version,CIS Asset Type,NIST Category,Control ID,Control Description,Custom Mapping Category,Custom Mapping Criteria,Review Req.,Custom Mapping Sub Type,Implementation Market Technologies,Rapid7 Implementation Products (Custom Script),Supporting Market Technologies,Rapid7 Supporting Products (Custom Script),Technical Details,Primary Control Support,Evidence Available,Native R7 Data,3rd Party Data,Type,Implementation Details,Sub-Category,Additional Details,Product API,Delivered
PCI DSS,4,Documentation,Support information security with organizational policies and programs,12.8.3,"An established process is implemented for engaging TPSPs, including proper due diligence prior to engagement.",,,True,,GRC,Cyber GRC Add-On,GRC,Cyber GRC Add-On,,,Available via API/Product reports.,Partial,No,Control Supported,,Risk to information assets associated with third-party service provider (TPSP) relationships is managed.,,,
PCI DSS,4,Documentation,Support information security with organizational policies and programs,12.8.4,"A program is implemented to monitor TPSPs’ PCI DSS compliance status at least once every 12 months. 
Applicability Notes
Where an entity has an agreement with a TPSP for meeting PCI DSS requirements on behalf of the entity (for example, via a firewall service), the entity must work with the TPSP to make sure the applicable PCI DSS requirements are met. If the TPSP does not meet those applicable PCI DSS requirements, then those requirements are also “not in place” for the entity.",,,False,,"CM, Compliance, MDM","Cyber GRC Add-On, Surface Command, insightCloudSec, insightVM","CM, Compliance, MDM","Cyber GRC Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command, insightCloudSec, insightVM","pci, firewall, pci, compliance",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,Risk to information assets associated with third-party service provider (TPSP) relationships is managed.,,,
PCI DSS,4,Documentation,Support information security with organizational policies and programs,12.8.5,"Information is maintained about which PCI DSS requirements are managed by each TPSP, which are managed by the entity, and any that are shared between the TPSP and the entity.",,,False,,"Compliance, MDM, PM","Automox Add-On, Cyber GRC Add-On, Surface Command, insightCloudSec, insightVM","Compliance, MDM, PM","Automox Add-On, Cyber GRC Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command, insightCloudSec, insightVM","pci, pci",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,Risk to information assets associated with third-party service provider (TPSP) relationships is managed.,,,
PCI DSS,4,Documentation,Support information security with organizational policies and programs,12.9.1,"Additional requirement for service providers only: TPSPs acknowledge in writing to customers that they are responsible for the security of account data the TPSP possesses or otherwise stores, processes, or transmits on behalf of the customer, or to the extent that they could impact the security of the customer’s CDE. 
Applicability Notes
This requirement applies only when the entity being assessed is a service provider.
The exact wording of an acknowledgment will depend on the agreement between the two parties, the details of the service being provided, and the responsibilities assigned to each party. The acknowledgment does not have to include the exact wording provided in this requirement.",,,True,,GRC,Cyber GRC Add-On,GRC,Cyber GRC Add-On,,,Available via API/Product reports.,Partial,No,Control Supported,,Third-party service providers (TPSPs) support their customers’ PCI DSS compliance.,,,
PCI DSS,4,Documentation,Support information security with organizational policies and programs,12.9.2,"Additional requirement for service providers only: TPSPs support their customers’ requests for information to meet Requirements 12.8.4 and 12.8.5 by providing the following upon customer request:
•         PCI DSS compliance status information for any service the TPSP performs on behalf of customers (Requirement 12.8.4).
•         Information about which PCI DSS requirements are the responsibility of the TPSP and which are the responsibility of the customer, including any shared responsibilities (Requirement 12.8.5). 
New requirement - effective immediately
Applicability Notes
This requirement applies only when the entity being assessed is a service provider.",,,False,,"Compliance, MDM","Cyber GRC Add-On, Surface Command, insightCloudSec, insightVM","Compliance, MDM","Cyber GRC Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command, insightCloudSec, insightVM","pci, pci, compliance",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,Third-party service providers (TPSPs) support their customers’ PCI DSS compliance.,,,
PCI DSS,4,Documentation,Support information security with organizational policies and programs,12.10.1,"An incident response plan exists and is ready to be activated in the event of a suspected or confirmed security incident. The plan includes, but is not limited to: 
•         Roles, responsibilities, and communication and contact strategies in the event of a suspected or confirmed security incident, including notification of payment brands and acquirers, at a minimum.
•         Incident response procedures with specific containment and mitigation activities for different types of incidents.
•         Business recovery and continuity procedures.
•         Data backup processes.
•         Analysis of legal requirements for reporting compromises.
•         Coverage and responses of all critical system components.
•         Reference or inclusion of incident response procedures from the payment brands. ",,,True,,PM,Automox Add-On,PM,Automox Add-On,"backup, incident",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,Suspected and confirmed security incidents that could impact the CDE are responded to immediately.,,,
PCI DSS,4,Documentation,Support information security with organizational policies and programs,12.10.2,"At least once every 12 months, the security
incident response plan is:
• Reviewed and the content is updated as
needed.
• Tested, including all elements listed in
Requirement 12.10.1.",,,True,,GRC,Cyber GRC Add-On,GRC,Cyber GRC Add-On,incident,,Available via API/Product reports.,Partial,No,Control Supported,,Suspected and confirmed security incidents that could impact the CDE are responded to immediately.,,,
PCI DSS,4,Documentation,Support information security with organizational policies and programs,12.10.3,Specific personnel are designated to be available on a 24/7 basis to respond to suspected or confirmed security incidents.,,,False,,GRC,Cyber GRC Add-On,GRC,Cyber GRC Add-On,,,Available via API/Product reports.,Partial,No,Control Supported,,Suspected and confirmed security incidents that could impact the CDE are responded to immediately.,,,
PCI DSS,4,Users,Support information security with organizational policies and programs,12.10.4,Personnel responsible for responding to suspected and confirmed security incidents are appropriately and periodically trained on their incident response responsibilities.,,,False,,GRC,Cyber GRC Add-On,GRC,Cyber GRC Add-On,incident,,Available via API/Product reports.,Partial,No,Control Supported,,Suspected and confirmed security incidents that could impact the CDE are responded to immediately.,,,
PCI DSS,4,Users,Support information security with organizational policies and programs,12.10.4.1,"The frequency of periodic training for incident response personnel is defined in the entity’s targeted risk analysis which is performed according to all elements specified in Requirement 12.3.1.
Applicability Notes
This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment.",,,False,,"Compliance, MDM","Cyber GRC Add-On, Surface Command, insightCloudSec, insightVM","Compliance, MDM","Cyber GRC Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command, insightCloudSec, insightVM","pci, pci, incident, training",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,Suspected and confirmed security incidents that could impact the CDE are responded to immediately.,,,
PCI DSS,4,Network,Support information security with organizational policies and programs,12.10.5,"The security incident response plan includes monitoring and responding to alerts from security monitoring systems, including but not limited to: 
•         Intrusion-detection and intrusion-prevention systems. 
•         Network security controls.
•         Change-detection mechanisms for critical files.
•         The change-and tamper-detection mechanism for payment pages. This bullet is a best practice until its effective date; refer to Applicability Notes below for details. 
•         Detection of unauthorized wireless access points.
Applicability Notes
The bullet above (for monitoring and responding to alerts from a change- and tamper-detection mechanism for payment pages) is a best practice until 31 March 2025, after which it will be required as part of Requirement 12.10.5 and must be fully considered during a PCI DSS assessment.",,,False,,"Compliance, MDM","Cyber GRC Add-On, Surface Command, insightCloudSec, insightVM","Compliance, MDM","Cyber GRC Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command, insightCloudSec, insightVM","pci, pci, monitoring, detection, prevention, change, detection, incident, network",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,Suspected and confirmed security incidents that could impact the CDE are responded to immediately.,,,
PCI DSS,4,Documentation,Support information security with organizational policies and programs,12.10.6,The security incident response plan is modified and evolved according to lessons learned and to incorporate industry developments.,,,False,,PT,"Pentesting Services, Vector Command",PT,"Pentesting Services, Vector Command",incident,,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,Suspected and confirmed security incidents that could impact the CDE are responded to immediately.,,,
PCI DSS,4,Documentation,Support information security with organizational policies and programs,12.10.7,"Incident response procedures are in place, to be initiated upon the detection of stored PAN anywhere it is not expected, and include:
•         Determining what to do if PAN is discovered outside the CDE, including its retrieval, secure deletion, and/or migration into the currently defined CDE, as applicable.
•         Identifying whether sensitive authentication data is stored with PAN. 
•         Determining where the account data came from and how it ended up where it was not expected.
•         Remediating data leaks or process gaps that resulted in the account data being where it was not expected. 
Applicability Notes
This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment.",,,True,,"Compliance, MDM","Cyber GRC Add-On, Surface Command, insightCloudSec, insightVM","Compliance, MDM","Cyber GRC Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command, insightCloudSec, insightVM","pci, pci, detection, detection, incident",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,Suspected and confirmed security incidents that could impact the CDE are responded to immediately.,,,
PCI DSS,4,Network,Additional PCI DSS Requirements for Shared Hosting Providers,A1.1.1,"Logical separation is implemented as follows:
•         The provider cannot access its customers’ environments without authorization.
•         Customers cannot access the provider’s environment without authorization.
Applicability Notes
This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment.
",,,False,,"Compliance, MDM","Cyber GRC Add-On, Surface Command, insightCloudSec, insightVM","Compliance, MDM","Cyber GRC Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command, insightCloudSec, insightVM","pci, pci",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,Multi-tenant service providers protect and segregate all customer environments and data.,,,
PCI DSS,4,Data,Additional PCI DSS Requirements for Shared Hosting Providers,A1.1.2,Controls are implemented such that each customer only has permission to access its own cardholder data and CDE.,,,False,,,,,,,,,,,,,Multi-tenant service providers protect and segregate all customer environments and data.,,,
PCI DSS,4,Data,Additional PCI DSS Requirements for Shared Hosting Providers,A1.1.3,Controls are implemented such that each customer can only access resources allocated to them.,,,False,,,,,,,,,,,,,Multi-tenant service providers protect and segregate all customer environments and data.,,,
PCI DSS,4,Data,Additional PCI DSS Requirements for Shared Hosting Providers,A1.1.4,"The effectiveness of logical separation controls used to separate customer environments is confirmed at least once every six months via penetration testing. 
Applicability Notes
The testing of adequate separation between customers in a multi-tenant service provider environment is in addition to the penetration tests specified in Requirement 11.4.6.
This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment.",,,False,,"Compliance, MDM","Cyber GRC Add-On, Surface Command, insightCloudSec, insightVM","Compliance, MDM","Cyber GRC Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command, insightCloudSec, insightVM","pci, pci",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,Multi-tenant service providers protect and segregate all customer environments and data.,,,
PCI DSS,4,Data,Additional PCI DSS Requirements for Shared Hosting Providers,A1.2.1,"Audit log capability is enabled for each customer’s environment that is consistent with PCI DSS Requirement 10, including:
•         Logs are enabled for common third-party applications.
•         Logs are active by default.
•         Logs are available for review only by the owning customer.
•         Log locations are clearly communicated to the owning customer.
•         Log data and availability is consistent with PCI DSS Requirement 10",,,True,,"Compliance, HIPS, MDM","Cyber GRC Add-On, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, Surface Command, insightCloudSec, insightIDR, insightVM","Compliance, HIPS, MDM","Cyber GRC Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, Surface Command, Vector Command, insightCloudSec, insightIDR, insightVM","default, pci, pci, availability",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,Multi-tenant service providers facilitate logging and incident response for all customers.,,,
PCI DSS,4,Documentation,Additional PCI DSS Requirements for Shared Hosting Providers,A1.2.2,Processes or mechanisms are implemented to support and/or facilitate prompt forensic investigations in the event of a suspected or confirmed security incident for any customer.,,,True,,,,,,incident,,,,,,,Multi-tenant service providers facilitate logging and incident response for all customers.,,,
PCI DSS,4,Documentation,Additional PCI DSS Requirements for Shared Hosting Providers,A1.2.3,"Processes or mechanisms are implemented for reporting and addressing suspected or confirmed security incidents and vulnerabilities, including:
•         Customers can securely report security incidents and vulnerabilities to the provider. 
•         The provider addresses and remediates suspected or confirmed security incidents and vulnerabilities according to Requirement 6.3.1.
Applicability Notes
This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment.",,,True,,"Compliance, MDM, VM","Cyber GRC Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Managed Threat Complete, Nexpose, Surface Command, insightCloudSec, insightVM","Compliance, MDM, VM","Cyber GRC Add-On, Exposure Command, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, Nexpose, Surface Command, Ultimate, Vector Command, insightAppSec, insightCloudSec, insightVM","vulnerabilities, pci, pci",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,Multi-tenant service providers facilitate logging and incident response for all customers.,,,
PCI DSS,4,Network,Additional PCI DSS Requirements for Entities using SSL/Early TLS for Card-Present POS POI Terminal Connections,A2.1.1,"Where POS POI terminals at the merchant or payment acceptance location use SSL and/or early TLS, the entity confirms the devices are not susceptible to any known exploits for those protocols.
Applicability Notes
This requirement is intended to apply to the entity with the POS POI terminal, such as a merchant. This requirement is not intended for service providers who serve as the termination or connection point to those POS POI terminals. Requirements A2.1.2 and A2.1.3 apply to POS POI service providers.
The allowance for POS POI terminals that are not currently susceptible to exploits is based on currently known risks. If new exploits are introduced to which POS POI terminals are susceptible, the POS POI terminals will need to be updated immediately.",,,False,,"GRC, IPS, NSM","Cyber GRC Add-On, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NTA Add-On, insightIDR","GRC, IPS, NSM","Cyber GRC Add-On, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NTA Add-On, insightIDR","tls, ssl",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,,,,
PCI DSS,4,Documentation,Additional PCI DSS Requirements for Entities using SSL/Early TLS for Card-Present POS POI Terminal Connections,A2.1.2,"Additional requirement for service providers only: All service providers with existing connection points to POS POI terminals that use SSL and/or early TLS as defined in A2.1 have a formal Risk Mitigation and Migration Plan in place that includes:
•         Description of usage, including what data is being transmitted, types and number of systems that use and/or support SSL/early TLS, and type of environment. 
•         Risk-assessment results and risk-reduction controls in place.
•         Description of processes to monitor for new vulnerabilities associated with SSL/early TLS.
•         Description of change control processes that are implemented to ensure SSL/early TLS is not implemented into new environments.
•         Overview of migration project plan to replace SSL/early TLS at a future date.
Applicability Notes
This requirement applies only when the entity being assessed is a service provider.",,,True,,"IPS, NSM, PT, VM","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NTA Add-On, Nexpose, Pentesting Services, Vector Command, insightIDR, insightVM","IPS, NSM, PT, VM","Exposure Command, Exposure Command Advanced, Exposure Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NTA Add-On, Nexpose, Pentesting Services, Ultimate, Vector Command, insightAppSec, insightIDR, insightVM","vulnerabilities, tls, ssl, change",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,,,,
PCI DSS,4,Documentation,Additional PCI DSS Requirements for Entities using SSL/Early TLS for Card-Present POS POI Terminal Connections,A2.1.3,"Additional requirement for service providers only: All service providers provide a secure service offering.
Applicability Notes
This requirement applies only when the entity being assessed is a service provider.",,,False,,,,,,,,,,,,,,,,
MITRE ATT&CK Mitigations,2026-03-01,Users,,M1036,Account Use Policies,Posture,Technology,False,,"ID, DS, SIEM, AM, CM","Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, N/A, insightIDR","EM, CAASM","DSPM Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, N/A, Surface Command, Vector Command, insightIDR",,Show Configuration,Control Supported,Partially,Yes,Automated,,,"Account Use Policies help mitigate unauthorized access by configuring and enforcing rules that govern how and when accounts can be used. These policies include enforcing account lockout mechanisms, restricting login times, and setting inactivity timeouts. Proper configuration of these policies reduces the risk of brute-force attacks, credential theft, and unauthorized access by limiting the opportunities for malicious actors to exploit accounts. This mitigation can be implemented through the following measures:",,
MITRE ATT&CK Mitigations,2026-03-02,Devices,,M1015,Active Directory Configuration,Posture,Technology,False,,"DS, CM, AM",,"EM, CAASM","DSPM Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, N/A, Surface Command, Vector Command",,Show Configuration,Control Supported,Partially,Yes,Automated,,,"Implement robust Active Directory (AD) configurations using group policies to secure user accounts, control access, and minimize the attack surface. AD configurations enable centralized control over account settings, logon policies, and permissions, reducing the risk of unauthorized access and lateral movement within the network. This mitigation can be implemented through the following measures:",,
MITRE ATT&CK Mitigations,2026-03-03,Devices,,M1049,Antivirus/Antimalware,Endpoint Monitoring,Technology,False,,"IR, EDR, EPP, NGAV","Hosted Velociraptor Add-On, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NGAV Add-On, NTA Add-On, Ransomware Prevention Add-On, Velociraptor, insightIDR",,"Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NGAV Add-On, Ransomware Prevention, insightIDR",,"Deployed Technology, Show Configuration, Monitoring Enabled, Show Results",Control Met,Yes,Yes,Automated,,,"Antivirus/Antimalware solutions utilize signatures, heuristics, and behavioral analysis to detect, block, and remediate malicious software, including viruses, trojans, ransomware, and spyware. These solutions continuously monitor endpoints and systems for known malicious patterns and suspicious behaviors that indicate compromise. Antivirus/Antimalware software should be deployed across all devices, with automated updates to ensure protection against the latest threats. This mitigation can be implemented through the following measures:",,
MITRE ATT&CK Mitigations,2026-03-04,Software,,M1013,Application Developer Guidance,Endpoint Monitoring,Technology,False,,AppSec,"Exposure Command Ultimate, insightAppSec",,,,"Show Scans, Deployed Technology",Control Met,Partially,No,Automated,,,"Application Developer Guidance focuses on providing developers with the knowledge, tools, and best practices needed to write secure code, reduce vulnerabilities, and implement secure design principles. By integrating security throughout the software development lifecycle (SDLC), this mitigation aims to prevent the introduction of exploitable weaknesses in applications, systems, and APIs. This mitigation can be implemented through the following measures:",,
MITRE ATT&CK Mitigations,2026-03-05,Software,,M1048,Application Isolation and Sandboxing,,Technology,False,,,,,,,,Control Supported,Partially,No,Automated,,,"Application Isolation and Sandboxing refers to the technique of restricting the execution of code to a controlled and isolated environment (e.g., a virtual environment, container, or sandbox). This method prevents potentially malicious code from affecting the rest of the system or network by limiting access to sensitive resources and critical operations. The goal is to contain threats and minimize their impact. This mitigation can be implemented through the following measures:",,
MITRE ATT&CK Mitigations,2026-03-06,Data,,M1047,Audit,Logging,Technology,False,,"SIEM, NSM, NTA, EDR","Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NTA Add-On, insightIDR",,"Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, NTA Add-On, insightIDR",,"Show Results, Deployed Technology",Control Met,Yes,Yes,Automated,,,Auditing is the process of recording activity and systematically reviewing and analyzing the activity and system configurations. The primary purpose of auditing is to detect anomalies and identify potential threats or weaknesses in the environment. Proper auditing configurations can also help to meet compliance requirements. The process of auditing encompasses regular analysis of user behaviors and system logs in support of proactive security measures.,,
MITRE ATT&CK Mitigations,2026-03-07,Devices,,M1040,Behavior Prevention on Endpoint,,Technology,False,,"EPP, DLP","N/A, Ransomware Prevention Add-On",VM,"Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, N/A, Ransomware Prevention, insightIDR",,"Deployed Technology, Monitoring Enabled, Show Configuration",Control Met,Yes,Yes,Automated,,,"Behavior Prevention on Endpoint refers to the use of technologies and strategies to detect and block potentially malicious activities by analyzing the behavior of processes, files, API calls, and other endpoint events. Rather than relying solely on known signatures, this approach leverages heuristics, machine learning, and real-time monitoring to identify anomalous patterns indicative of an attack. This mitigation can be implemented through the following measures:",,
MITRE ATT&CK Mitigations,2026-03-08,Data,,M1046,Boot Integrity,,Technology,False,,AM,,,"Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, Surface Command, Vector Command",,Show Configuration,,,,,,,"Boot Integrity ensures that a system starts securely by verifying the integrity of its boot process, operating system, and associated components. This mitigation focuses on leveraging secure boot mechanisms, hardware-rooted trust, and runtime integrity checks to prevent tampering during the boot sequence. It is designed to thwart adversaries attempting to modify system firmware, bootloaders, or critical OS components. This mitigation can be implemented through the following measures:",,
MITRE ATT&CK Mitigations,2026-03-09,Data,,M1045,Code Signing,,Technology,False,,PKI,,,,,,,,,,,,"Code Signing is a security process that ensures the authenticity and integrity of software by digitally signing executables, scripts, and other code artifacts. It prevents untrusted or malicious code from executing by verifying the digital signatures against trusted sources. Code signing protects against tampering, impersonation, and distribution of unauthorized or malicious software, forming a critical defense against supply chain and software exploitation attacks. This mitigation can be implemented through the following measures:",,
MITRE ATT&CK Mitigations,2026-03-10,Data,,M1043,Credential Access Protection,,Technology,False,,"CM, EDR","Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, N/A, insightIDR",,"Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, N/A, insightIDR",,,Control Supported,Partially,No,Automated,,,"Credential Access Protection focuses on implementing measures to prevent adversaries from obtaining credentials, such as passwords, hashes, tokens, or keys, that could be used for unauthorized access. This involves restricting access to credential storage mechanisms, hardening configurations to block credential dumping methods, and using monitoring tools to detect suspicious credential-related activity. This mitigation can be implemented through the following measures:",,
MITRE ATT&CK Mitigations,2026-03-11,Data,,M1053,Data Backup,,Technology,False,,,,,,,,,,,,,,"Data Backup involves taking and securely storing backups of data from end-user systems and critical servers. It ensures that data remains available in the event of system compromise, ransomware attacks, or other disruptions. Backup processes should include hardening backup systems, implementing secure storage solutions, and keeping backups isolated from the corporate network to prevent compromise during active incidents. This mitigation can be implemented through the following measures:",,
MITRE ATT&CK Mitigations,2026-03-12,Data,,M1057,Data Loss Prevention,,Technology,False,,"DLP, DSPM","DSPM Add-On, N/A",,"DSPM Add-On, N/A",,"Monitoring Enabled, Show Configuration, Show Scans",Control Met,Yes,Partially,Automated,,,"Data Loss Prevention (DLP) involves implementing strategies and technologies to identify, categorize, monitor, and control the movement of sensitive data within an organization. This includes protecting data formats indicative of Personally Identifiable Information (PII), intellectual property, or financial data from unauthorized access, transmission, or exfiltration. DLP solutions integrate with network, endpoint, and cloud platforms to enforce security policies and prevent accidental or malicious data leaks. This mitigation can be implemented through the following measures:",,
MITRE ATT&CK Mitigations,2026-03-13,Software,,M1042,Disable or Remove Feature or Program,,Technology,False,,"AM, CM, PM","Automox Add-On, N/A","VM, CAASM","Automox Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, N/A, Surface Command, Vector Command",,"Features Enabled, Deployed Technology, Show Results",Control Supported,Partially,Yes,Automated,,,"Disable or remove unnecessary and potentially vulnerable software, features, or services to reduce the attack surface and prevent abuse by adversaries. This involves identifying software or features that are no longer needed or that could be exploited and ensuring they are either removed or properly disabled. This mitigation can be implemented through the following measures:",,
MITRE ATT&CK Mitigations,2026-03-14,,,M1055,Do Not Mitigate,,Technology,False,,,,,,,,Unable to Meet,,,Manual,,,"The Do Not Mitigate category highlights scenarios where attempting to mitigate a specific technique may inadvertently increase the organization's security risk or operational instability. This could happen due to the complexity of the system, the integration of critical processes, or the potential for introducing new vulnerabilities. Instead of direct mitigation, these situations may call for alternative strategies such as detection, monitoring, or response. The Do Not Mitigate category underscores the importance of assessing the trade-offs between mitigation efforts and overall system integrity. This mitigation can be implemented through the following measures:",,
MITRE ATT&CK Mitigations,2026-03-15,Data,,M1041,Encrypt Sensitive Information,,Technology,False,,"AM, CM, Infrastructure",,"EM, DS, NTA, NSM","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, N/A, Surface Command, Vector Command",,"Show Configuration, Show Scans",Control Supported,Yes,Yes,Automated,,,"Protect sensitive information at rest, in transit, and during processing by using strong encryption algorithms. Encryption ensures the confidentiality and integrity of data, preventing unauthorized access or tampering. This mitigation can be implemented through the following measures:",,
MITRE ATT&CK Mitigations,2026-03-16,Software,,M1039,Environment Variable Permissions,,Technology,False,,CM,,,,,Show Configuration,Not Met,,,Automated,,,"Restrict the modification of environment variables to authorized users and processes by enforcing strict permissions and policies. This ensures the integrity of environment variables, preventing adversaries from abusing or altering them for malicious purposes. This mitigation can be implemented through the following measures:",,
MITRE ATT&CK Mitigations,2026-03-17,Software,,M1038,Execution Prevention,,Technology,False,,"AM, EPP, PM","Automox Add-On, N/A, Ransomware Prevention Add-On",,"Automox Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Ransomware Prevention, Surface Command, Vector Command, insightIDR",,"Features Enabled, Show Configuration",Control Supported,Partially,No,Automated,,,"Prevent the execution of unauthorized or malicious code on systems by implementing application control, script blocking, and other execution prevention mechanisms. This ensures that only trusted and authorized code is executed, reducing the risk of malware and unauthorized actions. This mitigation can be implemented through the following measures:",,
MITRE ATT&CK Mitigations,2026-03-18,Software,,M1050,Exploit Protection,,Technology,False,,"AM, PM, EPP","Automox Add-On, N/A, Ransomware Prevention Add-On",VM,"Automox Add-On, Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Ransomware Prevention, Surface Command, Vector Command, insightIDR",,"Features Enabled, Show Configuration",Control Met,Yes,Yes,Automated,,,"Deploy capabilities that detect, block, and mitigate conditions indicative of software exploits. These capabilities aim to prevent exploitation by addressing vulnerabilities, monitoring anomalous behaviors, and applying exploit-mitigation techniques to harden systems and software.",,
